"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Triceps Pushdown (Cable - Straight Bar)";"1";"21.25";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Triceps Pushdown (Cable - Straight Bar)";"2";"21.25";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Triceps Pushdown (Cable - Straight Bar)";"3";"23.75";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bench Press (Dumbbell)";"1";"18.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bench Press (Dumbbell)";"2";"18.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bent Over One Arm Row (Dumbbell)";"1";"18.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bent Over One Arm Row (Dumbbell)";"2";"18.0";"8";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bent Over One Arm Row (Dumbbell)";"3";"18.0";"8";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Cable Crossover";"1";"11.25";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Cable Crossover";"2";"11.25";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Cable Crossover";"3";"11.25";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Goblet Squat (Kettlebell)";"1";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Goblet Squat (Kettlebell)";"2";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Goblet Squat (Kettlebell)";"3";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Romanian Deadlift (Barbell)";"1";"20.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Romanian Deadlift (Barbell)";"2";"20.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Romanian Deadlift (Barbell)";"3";"20.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Sit Up";"1";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Sit Up";"2";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Sit Up";"3";"10.0";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Russian Twist";"1";"";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Russian Twist";"2";"";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Russian Twist";"3";"";"10";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Lateral Raise (Dumbbell)";"1";"4.0";"15";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Lateral Raise (Dumbbell)";"2";"4.0";"15";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Lateral Raise (Dumbbell)";"3";"4.0";"15";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bicep Curl (Dumbbell)";"1";"7.0";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bicep Curl (Dumbbell)";"2";"7.0";"12";"";"";"";"";""
"5";"2025-01-03 10:56:38";"Oren's #1 - Full Body SS";"3643";"Bicep Curl (Dumbbell)";"3";"7.0";"12";"";"";"";"";""
